Timestamp;S1;S2;S3;S4
2022-01-01T00:15:00.000000+01:00;405.875;20121.25;81.625;64.125
2022-01-01T00:30:00.000000+01:00;425.714;19258.571;81.714;62.286
2022-01-01T00:45:00.000000+01:00;432.25;18840;81.5;61.5
2022-01-01T01:00:00.000000+01:00;327;16182.857;81.571;63.857
2022-01-01T01:15:00.000000+01:00;262.875;15636.25;82;67.125
2022-01-01T01:30:00.000000+01:00;351.429;17981.429;81.857;64.429
2022-01-01T01:45:00.000000+01:00;393.125;18652.5;81.5;63
2022-01-01T02:00:00.000000+01:00;323.143;18255.714;81.714;66.143
2022-01-01T02:15:00.000000+01:00;448.125;21058.75;81.5;63
2022-01-01T02:30:00.000000+01:00;578.143;23635.714;81.286;59.857
2022-01-01T02:45:00.000000+01:00;402.375;18585;81.375;62.625
2022-01-01T03:00:00.000000+01:00;360.571;18364.286;81.714;64.429
2022-01-01T03:15:00.000000+01:00;360.875;17503.75;81.875;63.625
2022-01-01T03:30:00.000000+01:00;474.714;20594.286;81.714;61.429
2022-01-01T03:45:00.000000+01:00;421.375;18406.25;81.625;61.375
2022-01-01T04:00:00.000000+01:00;466.571;21414.286;81.429;62.429
2022-01-01T04:15:00.000000+01:00;469.625;19942.5;81.5;60.875
2022-01-01T04:30:00.000000+01:00;287.714;15091.429;82;64.857
2022-01-01T04:45:00.000000+01:00;268.25;14673.75;81.875;65.75
2022-01-01T05:00:00.000000+01:00;346.143;16558.571;81.857;63.571
2022-01-01T05:15:00.000000+01:00;373;15002.5;81.625;59.625
2022-01-01T05:30:00.000000+01:00;272.714;13904.286;81.714;64.286
2022-01-01T05:45:00.000000+01:00;356.5;14421.25;81.25;59.625
2022-01-01T06:00:00.000000+01:00;297.714;12007.143;81.143;59.857
2022-01-01T06:15:00.000000+01:00;231;10807.5;81.375;62.625
2022-01-01T06:30:00.000000+01:00;262;10388.571;81.286;59.143
2022-01-01T06:45:00.000000+01:00;479.5;17643.75;81.5;57.625
2022-01-01T07:00:00.000000+01:00;340;13450;81.143;59.286
2022-01-01T07:15:00.000000+01:00;309.375;13583.75;81.125;61.25
2022-01-01T07:30:00.000000+01:00;440.857;16790;81.143;58.286
2022-01-01T07:45:00.000000+01:00;367.875;14761.25;81.125;59.875
2022-01-01T08:00:00.000000+01:00;322.429;15065.714;81.714;63
2022-01-01T08:15:00.000000+01:00;373.625;14857.5;81.25;59.25
2022-01-01T08:30:00.000000+01:00;503;17894.286;81.143;56.571
2022-01-01T08:45:00.000000+01:00;398.25;15433.75;81.375;59
2022-01-01T09:00:00.000000+01:00;332;14991.429;81.571;62.143
2022-01-01T09:15:00.000000+01:00;400.5;16110;81.25;59.625
2022-01-01T09:30:00.000000+01:00;467.143;16937.143;81.143;57.143
2022-01-01T09:45:00.000000+01:00;391.875;15455;81.25;59.375
2022-01-01T10:00:00.000000+01:00;470.571;20264.286;81.286;61.429
2022-01-01T10:15:00.000000+01:00;456.5;18242.5;81.625;59.875
2022-01-01T10:30:00.000000+01:00;370.143;16395.714;81.429;61.714
2022-01-01T10:45:00.000000+01:00;366.625;16471.25;81.625;62.125
2022-01-01T11:00:00.000000+01:00;507.143;19658.571;81.143;59
2022-01-01T11:15:00.000000+01:00;323.375;14038.75;81;61.125
2022-01-01T11:30:00.000000+01:00;364.571;17464.286;81.429;63.143
2022-01-01T11:45:00.000000+01:00;428.25;18928.75;81.375;61.75
2022-01-01T12:00:00.000000+01:00;339.571;15432.857;81.286;62.143
2022-01-01T12:15:00.000000+01:00;337;14733.75;81.5;61.5
2022-01-01T12:30:00.000000+01:00;234.714;11712.857;81.429;64.143
2022-01-01T12:45:00.000000+01:00;308.125;15815;81.5;64.375
2022-01-01T13:00:00.000000+01:00;366;14801.429;81.143;59.714
2022-01-01T13:15:00.000000+01:00;301.625;13265;81.375;61.5
2022-01-01T13:30:00.000000+01:00;279.714;12957.143;81.286;62.429
2022-01-01T13:45:00.000000+01:00;436;19021.25;81.75;61.75
2022-01-01T14:00:00.000000+01:00;424.143;18425.714;81.429;61.143
2022-01-01T14:15:00.000000+01:00;286.375;14896.25;81.375;64.375
2022-01-01T14:30:00.000000+01:00;266.429;13922.857;81.714;64.714
