Timestamp;S1;S2;S3;S4
2021-01-01T00:15:00.000000+01:00;782;25640;81;54
2021-01-01T00:30:00.000000+01:00;535;24120;74;55
2021-01-01T00:45:00.000000+01:00;480;19430;77;56
2021-01-01T01:00:00.000000+01:00;714;21340;82;53
2021-01-01T01:15:00.000000+01:00;860;25070;82;52
2021-01-01T01:30:00.000000+01:00;572;18200;83;55
2021-01-01T01:45:00.000000+01:00;669;20360;82;53
2021-01-01T02:00:00.000000+01:00;523;18080;82;56
2021-01-01T02:15:00.000000+01:00;750;22000;82;52
2021-01-01T02:30:00.000000+01:00;651;21350;82;55
2021-01-01T02:45:00.000000+01:00;385;12430;82;55
2021-01-01T03:00:00.000000+01:00;819;25230;82;54
2021-01-01T03:15:00.000000+01:00;684;23030;82;56
2021-01-01T03:30:00.000000+01:00;695;21260;82;54
2021-01-01T03:45:00.000000+01:00;538;16950;84;56
2021-01-01T04:00:00.000000+01:00;815;24250;82;53
2021-01-01T04:15:00.000000+01:00;528;19010;82;58
2021-01-01T04:30:00.000000+01:00;590;20670;82;57
2021-01-01T04:45:00.000000+01:00;660;20870;82;54
2021-01-01T05:00:00.000000+01:00;543;19260;82;58
2021-01-01T05:15:00.000000+01:00;334;12690;83;60
2021-01-01T05:30:00.000000+01:00;390;12630;82;55
2021-01-01T05:45:00.000000+01:00;733;23520;82;55
2021-01-01T06:00:00.000000+01:00;571;21560;82;59
2021-01-01T06:15:00.000000+01:00;281;18760;70;57
2021-01-01T06:30:00.000000+01:00;584;25150;75;55
2021-01-01T06:45:00.000000+01:00;639;27140;78;57
2021-01-01T07:00:00.000000+01:00;566;22700;80;58
2021-01-01T07:15:00.000000+01:00;723;23110;82;55
2021-01-01T07:30:00.000000+01:00;363;12520;82;56
2021-01-01T07:45:00.000000+01:00;837;26030;82;54
2021-01-01T08:00:00.000000+01:00;648;21750;82;56
2021-01-01T08:15:00.000000+01:00;594;20670;82;57
2021-01-01T08:30:00.000000+01:00;808;23500;82;52
2021-01-01T08:45:00.000000+01:00;618;21600;82;57
2021-01-01T09:00:00.000000+01:00;683;23240;83;57
2021-01-01T09:15:00.000000+01:00;745;23130;82;54
2021-01-01T09:30:00.000000+01:00;361;25550;68;56
2021-01-01T09:45:00.000000+01:00;521;24300;76;58
2021-01-01T10:00:00.000000+01:00;765;27810;77;53
2021-01-01T10:15:00.000000+01:00;773;29610;77;54
2021-01-01T10:30:00.000000+01:00;795;26910;81;55
2021-01-01T10:45:00.000000+01:00;714;23910;82;56
2021-01-01T11:00:00.000000+01:00;533;18960;82;58
2021-01-01T11:15:00.000000+01:00;658;23570;82;57
2021-01-01T11:30:00.000000+01:00;534;19990;82;58
2021-01-01T11:45:00.000000+01:00;396;12880;82;55
2021-01-01T12:00:00.000000+01:00;695;21420;82;54
2021-01-01T12:15:00.000000+01:00;737;24170;82;55
2021-01-01T12:30:00.000000+01:00;540;20830;82;59
2021-01-01T12:45:00.000000+01:00;473;15750;82;56
2021-01-01T13:00:00.000000+01:00;848;25010;83;54
2021-01-01T13:15:00.000000+01:00;445;16550;82;59
2021-01-01T13:30:00.000000+01:00;323;11800;81;57
2021-01-01T13:45:00.000000+01:00;344;10290;82;53
2021-01-01T14:00:00.000000+01:00;602;21080;82;57
2021-01-01T14:15:00.000000+01:00;425;17150;82;61
2021-01-01T14:30:00.000000+01:00;580;17430;82;53
2021-01-01T14:45:00.000000+01:00;303;11510;83;60
2021-01-01T15:00:00.000000+01:00;533;20560;82;59
2021-01-01T15:15:00.000000+01:00;331;11050;81;55
2021-01-01T15:30:00.000000+01:00;708;20020;82;51
